Nummer|Datum|Ort|Name_voll|GND|Wiki|Journalnummer|Aufbewahrungsort|Aufbewahrungsinstitution|Jahr|VON/AN|person_id|name_gnd|gender_gnd|birth_gnd|occupations_gnd|publications_gnd|degrees_gnd|coordinates_wiki|text|url|place_id|date|letter_text|status_letter_text
436|10.06.|Eppishausen|Ludwig Uhland|118625063|https://de.wikipedia.org/wiki/Ludwig_Uhland||Marbach am Neckar|Schiller Nationalmuseum|1823|VON|lassberg-correspondent-0288|Uhland, Ludwig|male|1787|Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller|8|Dr.|48.16666667,10.51666667|Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 34|https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1|lassberg-place-0043|1823-06-10||
437|26.06.|Eppishausen|Philipp Lüthard|-|-|123|Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-06-26||
438|27.07.|Eppishausen|Karl Egon III. zu Fürstenberg|118694154|https://de.wikipedia.org/wiki/Karl_Egon_III._zu_F%C3%BCrstenberg|139|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1823|VON|lassberg-correspondent-0250|Fürstenberg, Karl Egon zu|male|1820|General|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-07-27||
439|31.07.|Heiligenberg|Karl Egon III. zu Fürstenberg|118694154|https://de.wikipedia.org/wiki/Karl_Egon_III._zu_F%C3%BCrstenberg|147|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1823|VON|lassberg-correspondent-0250|Fürstenberg, Karl Egon zu|male|1820|General|-|-|47.82083333,9.3125|||lassberg-place-0066|1823-07-31||
440|31.07.|Heiligenberg|Ludwig Uhland|118625063|https://de.wikipedia.org/wiki/Ludwig_Uhland|148|Marbach am Neckar|Schiller Nationalmuseum|1823|VON|lassberg-correspondent-0288|Uhland, Ludwig|male|1787|Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller|8|Dr.|47.82083333,9.3125|Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 35|https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1|lassberg-place-0066|1823-07-31||
441|28.08.|Eppishausen|Karl Egon III. zu Fürstenberg|118694154|https://de.wikipedia.org/wiki/Karl_Egon_III._zu_F%C3%BCrstenberg|155|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1823|VON|lassberg-correspondent-0250|Fürstenberg, Karl Egon zu|male|1820|General|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-08-28||
442|31.08.|Eppishausen|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger|160|Trogen|Kantonsbibliothek Appenzell A.Rh.|1823|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|48.16666667,10.51666667|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 29|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0043|1823-08-31||
443|19.09.|Eppishausen|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger|167|Trogen|Kantonsbibliothek Appenzell A.Rh.|1823|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|48.16666667,10.51666667|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 3|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0043|1823-09-19||
444|06.10.|Eppishausen|Johann August Zeune|116984465|https://de.wikipedia.org/wiki/Johann_August_Zeune|168|Krakau|Jagiellonische Bibliothek|1823|VON|lassberg-correspondent-0184|Zeune, August|male|1778|Pädagoge,Germanist,Geograf|9|Prof. Dr.|48.16666667,10.51666667|Martin Harris, Joseph von Laßberg im Briefwechsel mit norddeutschen Germanisten. Neu aufgefundene Briefe zur Geschichte der germanischen Philologie. In: Euphorion 80 (1986), S. 46-82, S. 73|-|lassberg-place-0043|1823-10-06||
445|10.10.|Eppishausen|Johann Baptist Ludwig Gallati|123840422|http://www.hls-dhs-dss.ch/textes/d/D11356.php|170|Luzern|Archiv der Herren Good|1823|VON|lassberg-correspondent-0187|Gallati, Johann Baptist Ludwig|male|1771|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-10-10||
446|11.10.|Eppishausen|Ludwig Uhland|118625063|https://de.wikipedia.org/wiki/Ludwig_Uhland|171|Marbach am Neckar|Schiller Nationalmuseum|1823|VON|lassberg-correspondent-0288|Uhland, Ludwig|male|1787|Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller|8|Dr.|48.16666667,10.51666667|Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 38-42|https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1|lassberg-place-0043|1823-10-11||
447|13.10.|Eppishausen|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger|176|Trogen|Kantonsbibliothek Appenzell A.Rh.|1823|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|48.16666667,10.51666667|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 33|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0043|1823-10-13||
448|14.10.|Unbekannt|Ildefons von Arx|116353740|https://de.wikipedia.org/wiki/Ildefons_von_Arx|182|St.Gallen|Stiftsbibliothek|1823|VON|lassberg-correspondent-0169|Arx, Ildefons von|male|1755|Mönch,Bibliothekar,Archivar,Geistlicher,Historiker,Domkapitular|-|-|-|||lassberg-place-0152|1823-10-14||
449|15.10.|Eppishausen|Philipp Lüthard|-|-|185|Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-10-15||
450|06.11.|Donaueschingen|Philipp Lüthard|-|-||Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1823-11-06||
451|09.11.|Eppishausen|Philipp Lüthard|-|-|192|Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-11-09||
452|10.11.|Eppishausen|Franz Becker|11610290X|-|194|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1823|VON|lassberg-correspondent-0094|Becker, Franz|male|1798|Prediger,Theologe|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-11-10||
453|14.11.|Eppishausen|Karl Egon III. zu Fürstenberg|118694154|https://de.wikipedia.org/wiki/Karl_Egon_III._zu_F%C3%BCrstenberg|210|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1823|VON|lassberg-correspondent-0250|Fürstenberg, Karl Egon zu|male|1820|General|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-11-14||
454|17.11.|Eppishausen|Philipp Lüthard|-|-|216|Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-11-17||
455|21.11.|Eppishausen|Philipp Lüthard|-|-|229|Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-11-21||
456|25.11.|Eppishausen|Karl Egon III. zu Fürstenberg|118694154|https://de.wikipedia.org/wiki/Karl_Egon_III._zu_F%C3%BCrstenberg|234|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1823|VON|lassberg-correspondent-0250|Fürstenberg, Karl Egon zu|male|1820|General|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-11-25||
457|26.11.|Eppishausen|Philipp Lüthard|-|-|238|Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-11-26||
458|02.12.|Heiligenberg|Karl Egon III. zu Fürstenberg|118694154|https://de.wikipedia.org/wiki/Karl_Egon_III._zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1823|VON|lassberg-correspondent-0250|Fürstenberg, Karl Egon zu|male|1820|General|-|-|47.82083333,9.3125|||lassberg-place-0066|1823-12-02||
459|03.12.|Eppishausen|Philipp Lüthard|-|-|247|Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-12-03||
460|-|Unbekannt|Franz Becker|11610290X|-|248|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1823|VON|lassberg-correspondent-0094|Becker, Franz|male|1798|Prediger,Theologe|-|-|-|||lassberg-place-0152|||
461|06.12.|Eppishausen|Philipp Lüthard|-|-|250|Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-12-06||
462|09.12.|Eppishausen|Philipp Lüthard|-|-|256|Luzern|Staatsarchiv|1823|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1823-12-09||
463|17.12.|Eppishausen|Johann Heinrich Tanner|1060060795|https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner|265|Aarau|Staatsarchiv|1823|VON|lassberg-correspondent-0201|Tanner, Johann Heinrich|male|1799|Textilhandel,Politiker|-|-|48.16666667,10.51666667|Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von Laßberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 143/R|https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60|lassberg-place-0043|1823-12-17||
464|29.12.|Eppishausen|Karl Hartwig Gregor von Meusebach|118733230|https://de.wikipedia.org/wiki/Karl_Hartwig_Gregor_von_Meusebach|287|Berlin|Staatsbibliothek Preussischer Kulturbesitz|1823|VON|lassberg-correspondent-0256|Meusebach, Karl Hartwig Gregor von|male|1781|Literarhistoriker,Germanist,Bibliophiler,Jurist|3|-|48.16666667,10.51666667|||lassberg-place-0043|1823-12-29||
465|30.12.|Eppishausen|Johann August Zeune|116984465|https://de.wikipedia.org/wiki/Johann_August_Zeune|290|Dortmund|Stadt- und Landesbibliothek|1823|VON|lassberg-correspondent-0184|Zeune, August|male|1778|Pädagoge,Germanist,Geograf|9|Prof. Dr.|48.16666667,10.51666667|Martin Harris, Joseph von Laßberg im Briefwechsel mit norddeutschen Germanisten. Neu aufgefundene Briefe zur Geschichte der germanischen Philologie. In: Euphorion 80 (1986), S. 46-82, S. 74|-|lassberg-place-0043|1823-12-30||
466|30.12.|Eppishausen|Johann Heinrich Tanner|1060060795|https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner|291|Aarau|Staatsarchiv|1823|VON|lassberg-correspondent-0201|Tanner, Johann Heinrich|male|1799|Textilhandel,Politiker|-|-|48.16666667,10.51666667|Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von Laßberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 107/t|https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60|lassberg-place-0043|1823-12-30||
467|07.01.|Eppishausen|Philipp Lüthard|-|-|4|Luzern|Staatsarchiv|1824|VON|lassberg-correspondent-0323|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1824-01-07||
468|12.02.|Eppishausen|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger|41|Trogen|Kantonsbibliothek Appenzell A.Rh.|1824|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|48.16666667,10.51666667|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 35-38/t|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0043|1824-02-12||
469|21.02.|Eppishausen|Johann Rudolf Wyss|117349666|https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss|53|Bern|Burgerbibliothek|1824|VON|lassberg-correspondent-0215|Wyss, Johann Rudolf|male|1781|Schriftsteller,Philosoph|7|-|48.16666667,10.51666667|||lassberg-place-0043|1824-02-21||
470|26.03.|Eppishausen|Johann Rudolf Wyss|117349666|https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss|84|Bern|Burgerbibliothek|1824|VON|lassberg-correspondent-0215|Wyss, Johann Rudolf|male|1781|Schriftsteller,Philosoph|7|-|48.16666667,10.51666667|||lassberg-place-0043|1824-03-26||
471|06.04.|Eppishausen|Karl Hartwig Gregor von Meusebach|118733230|https://de.wikipedia.org/wiki/Karl_Hartwig_Gregor_von_Meusebach|85|Berlin|Staatsbibliothek Preussischer Kulturbesitz|1824|VON|lassberg-correspondent-0256|Meusebach, Karl Hartwig Gregor von|male|1781|Literarhistoriker,Germanist,Bibliophiler,Jurist|3|-|48.16666667,10.51666667|||lassberg-place-0043|1824-04-06||
472|10.04.|Eppishausen|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger|104|Trogen|Kantonsbibliothek Appenzell A.Rh.|1824|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|48.16666667,10.51666667|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 42|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0043|1824-04-10||
473|12.04.|Konstanz|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger||Trogen|Kantonsbibliothek Appenzell A.Rh.|1824|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|47.66666667,9.18333333|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 43|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0082|1824-04-12||
474|05.05.|Eppishausen|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger|?|||1824|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|48.16666667,10.51666667|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 46/t|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0043|1824-05-05||
475|23.06.|Eppishausen|Johann JakobHorner|116994150|https://hls-dhs-dss.ch/de/articles/045956/2006-11-30/|137|Zürich|Zentralbibliothek|1824|VON|lassberg-correspondent-0203|Horner, Johann Jakob|male|1772|Kunsthistoriker,Literarhistoriker,Theologe,Philosoph,Bibliothekar|1|-|48.16666667,10.51666667|||lassberg-place-0043|1824-06-23||
476|23.06.|Eppishausen|Ludwig Uhland|118625063|https://de.wikipedia.org/wiki/Ludwig_Uhland|138|Marbach am Neckar|Schiller Nationalmuseum|1824|VON|lassberg-correspondent-0288|Uhland, Ludwig|male|1787|Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller|8|Dr.|48.16666667,10.51666667|Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 45-48|https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1|lassberg-place-0043|1824-06-23||
477|16.08.|Eppishausen|Johann Rudolf Wyss|117349666|https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss|159|Bern|Burgerbibliothek|1824|VON|lassberg-correspondent-0215|Wyss, Johann Rudolf|male|1781|Schriftsteller,Philosoph|7|-|48.16666667,10.51666667|||lassberg-place-0043|1824-08-16||
478|24.08.|Eppishausen|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger|170|Trogen|Kantonsbibliothek Appenzell A.Rh.|1824|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|48.16666667,10.51666667|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 52/t|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0043|1824-08-24||
479|06.09.|Eppishausen|Johann Rudolf Wyss|117349666|https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss|182|Bern|Burgerbibliothek|1824|VON|lassberg-correspondent-0215|Wyss, Johann Rudolf|male|1781|Schriftsteller,Philosoph|7|-|48.16666667,10.51666667|||lassberg-place-0043|1824-09-06||
480|24.09.|Eppishausen|Karl Hartwig Gregor von Meusebach|118733230|https://de.wikipedia.org/wiki/Karl_Hartwig_Gregor_von_Meusebach|196|Berlin|Staatsbibliothek Preussischer Kulturbesitz|1824|VON|lassberg-correspondent-0256|Meusebach, Karl Hartwig Gregor von|male|1781|Literarhistoriker,Germanist,Bibliophiler,Jurist|3|-|48.16666667,10.51666667|||lassberg-place-0043|1824-09-24||
481|04.10.|Eppishausen|Friedrich Heinrich von der Hagen|118829130|https://de.wikipedia.org/wiki/Friedrich_Heinrich_von_der_Hagen|205|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1824|VON|lassberg-correspondent-0119|Hagen, Friedrich Heinrich von der|male|1780|Germanist,Hochschullehrer,Bibliothekar,Übersetzer,Jurist|8|Prof.|48.16666667,10.51666667|Eckhard Grunewald, Vom Liedersaal zu den Minnesingern. Joseph von Laßbergs Briefe an Friedrich Heinrich von der Hagen. In: Euphorion 75 (1981), S. 342-59, S. 354|-|lassberg-place-0043|1824-10-04||
482|12.10.|Unbekannt|Johann JakobHorner|116994150|https://hls-dhs-dss.ch/de/articles/045956/2006-11-30/||Zürich|Zentralbibliothek|1824|VON|lassberg-correspondent-0203|Horner, Johann Jakob|male|1772|Kunsthistoriker,Literarhistoriker,Theologe,Philosoph,Bibliothekar|1|-|-|||lassberg-place-0152|1824-10-12||
483|13.10.|Konstanz|Philipp Lüthard|-|-||Luzern|Staatsarchiv|1824|VON|lassberg-correspondent-0323|-|-|-|-|-|-|47.66666667,9.18333333|||lassberg-place-0082|1824-10-13||
484|16.10.|Eppishausen|Unbekannt|-|-|213|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1824|VON|lassberg-correspondent-0354|-|-|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1824-10-16||
485|17.11.|Eppishausen|Johann Rudolf Wyss|117349666|https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss|227|Bern|Burgerbibliothek|1824|VON|lassberg-correspondent-0215|Wyss, Johann Rudolf|male|1781|Schriftsteller,Philosoph|7|-|48.16666667,10.51666667|||lassberg-place-0043|1824-11-17||
486|22.11.|Eppishausen|Ignaz Heinrich von Wessenberg|118631764|https://de.wikipedia.org/wiki/Ignaz_Heinrich_von_Wessenberg|235|Heidelberg|Universitätsbibliothek|1824|VON|lassberg-correspondent-0168|Wessenberg, Ignaz Heinrich von|male|1774|Schriftsteller,Bischof,Katholischer Theologe,Generalvikar|9|-|48.16666667,10.51666667|||lassberg-place-0043|1824-11-22||
487|24.11.|Eppishausen|Johann Baptist Schlosser|121127990|-|246|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1824|VON|lassberg-correspondent-0189|Schlosser, Johann Baptist|notKnown|-|-|-|-|48.16666667,10.51666667|||lassberg-place-0043|1824-11-24||
488|07.12.|Eppishausen|Jacob Grimm|118542257|https://de.wikipedia.org/wiki/Jacob_Grimm|?|||1824|VON|lassberg-correspondent-0170|Grimm, Jacob|male|1785|Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer|6|Prof.|48.16666667,10.51666667|Albert Leitzmann, Briefe des Freiherrn Joseph von Laßberg an Jakob Grimm. In: Sitzungsberichte der Preußischen Akademie der Wissenschaften. Berlin 1931, S. 1026-1105, S. 1041|-|lassberg-place-0043|1824-12-07||
489|09.12.|Eppishausen|Georg Friedrich Benecke|11865537X|https://de.wikipedia.org/wiki/Georg_Friedrich_Benecke|?|||1824|VON|lassberg-correspondent-0134|Benecke, Georg Friedrich|male|1762|Bibliothekar,Philologe,Germanist|8|Prof.|48.16666667,10.51666667|Rudolf Baier, Briefe aus der Frühzeit der deutschen Philologie an Georg Friedrich Benecke. Leipzig 1901 (unveränderter Neudruck: Wiesbaden 1966), S. 58|https://digital.slub-dresden.de/werkansicht/dlf/77368/1|lassberg-place-0043|1824-12-09||
490|09.12.|Eppishausen|Ludwig Uhland|118625063|https://de.wikipedia.org/wiki/Ludwig_Uhland||Marbach am Neckar|Schiller Nationalmuseum|1824|VON|lassberg-correspondent-0288|Uhland, Ludwig|male|1787|Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller|8|Dr.|48.16666667,10.51666667|Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von Laßberg und Ludwig Uhland. Wien 1870, S. 49|https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1|lassberg-place-0043|1824-12-09||
491|21.12.|Eppishausen|Johann Rudolf Wyss|117349666|https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss|272|Bern|Burgerbibliothek|1824|VON|lassberg-correspondent-0215|Wyss, Johann Rudolf|male|1781|Schriftsteller,Philosoph|7|-|48.16666667,10.51666667|||lassberg-place-0043|1824-12-21||
492|29.12.|Konstanz|Karl Egon III. zu Fürstenberg|118694154|https://de.wikipedia.org/wiki/Karl_Egon_III._zu_F%C3%BCrstenberg|284|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1824|VON|lassberg-correspondent-0250|Fürstenberg, Karl Egon zu|male|1820|General|-|-|47.66666667,9.18333333|||lassberg-place-0082|1824-12-29||
493|21.01.|Konstanz|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger|13|Trogen|Kantonsbibliothek Appenzell A.Rh.|1825|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|47.66666667,9.18333333|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 62-65/t|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0082|1825-01-21||
494|21.01.|Konstanz|Johann Daniel Wilhelm Hartmann|10058019X|https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann|15|St.Gallen|Kantonsbibliothek|1825|VON|lassberg-correspondent-0196|Hartmann, Wilhelm|male|1793|Künstler|1|-|47.66666667,9.18333333|||lassberg-place-0082|1825-01-21||
495|04.02.|Eppishausen|Egbert Friedrich von Mülinen|101397593|https://de.wikipedia.org/wiki/Egbert_Friedrich_von_M%C3%BClinen|27|Bern|Burgerbibliothek|1825|VON|lassberg-correspondent-0075|Mülinen, Egbert Friedrich von|male|1817|Historiker,Privatgelehrter|2|-|48.16666667,10.51666667|||lassberg-place-0043|1825-02-04||
496|09.03.|Konstanz|Johann Leonhard Hug|118707884|https://de.wikipedia.org/wiki/Johann_Leonhard_Hug|62|Karlsruhe|Badische Landesbibliothek|1825|VON|lassberg-correspondent-0206|Hug, Johann Leonhard|male|1765|Katholischer Theologe,Orientalist,Alttestamentler,Hochschullehrer,Priester|9|Prof. Dr. theol.|47.66666667,9.18333333|||lassberg-place-0082|1825-03-09||
497|11.03.|Eppishausen|Johann Caspar Zellweger|116978813|https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger|68|Trogen|Kantonsbibliothek Appenzell A.Rh.|1825|VON|lassberg-correspondent-0193|Zellweger, Johann Caspar|male|1768|Kaufmann,Historiker|4|-|48.16666667,10.51666667|Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 65|https://books.google.de/books?id=KIHHQBvr1nkC|lassberg-place-0043|1825-03-11||
498|11.03.|Eppishausen|Heinrich Zschokke|118637266|https://de.wikipedia.org/wiki/Heinrich_Zschokke|69|Aarau|Staatsarchiv|1825|VON|lassberg-correspondent-0154|Zschokke, Heinrich|male|1771|Historiker,Politiker,Schriftsteller|10|-|48.16666667,10.51666667|Karl Siegfried Bader (Hg.), Joseph von Lassberg. Mittler und Sammler. Aufsätze zu seinem 100. Todestag. Stuttgart 1955, S. 14|-|lassberg-place-0043|1825-03-11||
499|11.03.|Eppishausen|Johann Adam Pupikofer|11565108X|https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer|71|Winterthur|Stadtbibliothek|1825|VON|lassberg-correspondent-0179|Pupikofer, Johann Adam|male|1797|Pfarrer,Archivar,Historiker,Bibliothekar|8|-|48.16666667,10.51666667|Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 15 (1887), S. 231-88, S. 231|https://books.google.de/books?id=dXkKAAAAIAAJ|lassberg-place-0043|1825-03-11|Eppishausen, den 11. März 1825. Mit der angelegensten Bitte es mir zu gute zu halten, daß ich Jr Buch so lange behielt und mit dem besten Dank für dessen mir gestatteten Gebrauch, sende ich Inen den IV. Band von Raumers Geschichte der Hohenstaufen hier zurük: die anhaltende Krankheit meines Freundes v. Ittner, welche vorgestern mit dessen Hinscheiden endete, erlaubte mir nicht, an Etwas anderes zu denken. Seit gestern Abends bin ich mit seiner Wittwe und Tochter hier angekommen; sie wollen die ersten Tage der Trauer in dieser Einsamkeit zubringen. Gerne würde ich Irem Wunsche entsprechen und Inen den II. Band von Zapfs Monument: anecdot: übermachen; allein, ich habe jn nicht und zweifle, ob ein solcher herausgekommen ist; doch habe ich in Augsburg deshalb Erkundigungen anstellen lassen. Die Handschrift Trutpert Neugarts zum II. Band des Episcopatus Constantiensis liegt schon im zweiten Jare bei dem H. Graven Mülinen zu Bern, welchem der Verfasser sie zur Herausgabe überlaßen hat; aber bei der geschwächten Gesundheit dieses würdigen Mannes, ist wol keine Hofnung zu Bewerkstelligung dieser Herausgabe. Das Gedicht, welches eigentlich nur bis zum Anfange des Appenzeller Krieges reicht, hat weder geschichtlichen noch poët. Werth und würde wol eben so gut ungedruckt geblieben sein, was ich mir die Freiheit nam, dem H. v. Arx schon vor mer als drei Jaren zu äußern. Auch aus dem I. Bande von Anshelms Bernerchronik habe ich wenig Trost geschöpft, und ziehe Justinger und Tschachtlan weit vor. Eine nicht uninteressante Geschichte eines böhmischen Freyherren von Rozmital aus dem xv. Jarhundert sende ich Inen von Constanz aus. Indeßen leben Sie wol und gedenken Sie zuweilen mit Liebe Ires herzlich betrübten, gehorsamen Dieners. Joseph v. Laßberg.|to_be_processed
